entity:test_id	samplename	read1	read2
1	NC-010524	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC-010524_S1_L001_R1_001.fastq.gz	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC-010524_S1_L001_R2_001.fastq.gz
2	NC-012524	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC-012524_S1_L001_R1_001.fastq.gz	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC-012524_S1_L001_R2_001.fastq.gz
3	NC-021224	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC-021224_S1_L001_R1_001.fastq.gz	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC-021224_S1_L001_R2_001.fastq.gz
4	NC-022224-ig	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC-022224-ig_S9_L001_R1_001.fastq.gz	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC-022224-ig_S9_L001_R2_001.fastq.gz
5	NC-022224	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC-022224_S1_L001_R1_001.fastq.gz	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC-022224_S1_L001_R2_001.fastq.gz
6	NC-022824	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC-022824_S1_L001_R1_001.fastq.gz	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC-022824_S1_L001_R2_001.fastq.gz
7	NC-031124	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC-031124_S1_L001_R1_001.fastq.gz	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC-031124_S1_L001_R2_001.fastq.gz
8	NC-031224	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC-031224_S1_L001_R1_001.fastq.gz	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC-031224_S1_L001_R2_001.fastq.gz
9	NC-031524	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC-031524_S12_L001_R1_001.fastq.gz	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC-031524_S12_L001_R2_001.fastq.gz
10	NC-031924	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC-031924_S17_L001_R1_001.fastq.gz	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC-031924_S17_L001_R2_001.fastq.gz
